Articles,de,fr,es,it,sv,nl,pl,ru,en
Python_(programming_language),Python_(Programmiersprache),Python_(langage),Python,Python,Python_(programspråk),Python_(programmeertaal),Python,Python,Python_(programming_language)
Quagga_(software),Quagga_(Software),Quagga_(logiciel),Quagga_(enrutador),,,,Quagga,Quagga,Quagga_(software)
Quantum_computing,Quantencomputer,Calculateur_quantique,Computación_cuántica,Computer_quantistico,Kvantdator,Kwantumcomputer,Komputer_kwantowy,Квантовый_компьютер,Quantum_computing
Quantum_network,Quantennetzwerk,,,,,,,Квантовая_сеть,Quantum_network
Quantum_technology,Quantentechnologie,,,,,,Inżynieria_kwantowa,Квантовая_технология,Quantum_technology
QUIC,Quick_UDP_Internet_Connections,,QUIC,,,,,QUIC,QUIC
Radio_access_network,,Radio_access_network,,,Radio_Access_Network,,Sieć_radiowa,,Radio_access_network
RADIUS,Remote_Authentication_Dial-In_User_Service,Remote_Authentication_Dial-In_User_Service,RADIUS,RADIUS,Remote_Authentication_Dial-In_User_Services,RADIUS,RADIUS,RADIUS,RADIUS
Real_Time_Kinematic,Echtzeitkinematik,Cinématique_temps_réel,RTK_(navegación),Cinematica_in_tempo_reale,Real_time_kinematic,RTK,Real_Time_Kinematic,Real_Time_Kinematic,Real_Time_Kinematic
Real-time_data,,,,,,,,,Real-time_data
Real-time_Transport_Protocol,Real-Time_Transport_Protocol,Real-time_Transport_Protocol,Protocolo_de_transporte_en_tiempo_real,Real-time_Transport_Protocol,Real-time_Transport_Protocol,Realtime_Transport_Protocol,Real-time_Transport_Protocol,Real-time_Transport_Protocol,Real-time_Transport_Protocol
Recommender_system,Empfehlungsdienst,Système_de_recommandation,Sistema_de_recomendación,Sistema_di_raccomandazione,Rekommendationssystem,,,Рекомендательная_система,Recommender_system
Recursive_InterNetwork_Architecture_(RINA),,,RINA,,,,,,Recursive_InterNetwork_Architecture_(RINA)
Regulatory_technology,,,,,,,,Регуляторные_технологии,Regulatory_technology
Reinforcement_learning,Bestärkendes_Lernen,Apprentissage_par_renforcement,Aprendizaje_por_refuerzo,Apprendimento_per_rinforzo,,,,Обучение_с_подкреплением,Reinforcement_learning
Resource_Reservation_Protocol,Resource_Reservation_Protocol,Resource_Reservation_Protocol,Protocolo_de_reserva_de_recursos,Resource_Reservation_Protocol,Resursreservationsprotokoll,Resource_Reservation_Protocol,Resource_Reservation_Protocol,RSVP_(протокол),Resource_Reservation_Protocol
Rich_Internet_application,Rich_Internet_Application,Rich_Internet_application,Rich_Internet_application,Rich_Internet_application,Rich_Internet_Applications,Rich_internet_application,Rich_Internet_Application,Насыщенное_интернет-приложение,Rich_Internet_application
RISC-V,RISC-V,RISC-V,,,,,,RISC-V,RISC-V
Robotic_process_automation,Robotergesteuerte_Prozessautomatisierung,,Automatización_robótica_de_procesos,,,,Zrobotyzowana_Automatyzacja_Procesów,,Robotic_process_automation
Robotics,Robotik,Robotique,Robótica,Robotica,Robotik,Robotica,Robotyka,Робототехника,Robotics
Robotics,Robotik,Robotique,Robótica,Robotica,Robotik,Robotica,Robotyka,Робототехника,Robotics
Robust_Header_Compression,ROHC,Robust_Header_Compression,,,,,,ROHC,Robust_Header_Compression
Routing_bridge,,,,,,,,,Routing_bridge
Secure_multi-party_computation,,Calcul_multipartite_sécurisé,Protocolo_seguro,,,,,Протокол_конфиденциального_вычисления,Secure_multi-party_computation
Secure_Real-time_Transport_Protocol,Secure_Real-Time_Transport_Protocol,Secure_Real-time_Transport_Protocol,Secure_Real-time_Transport_Protocol,,,,,SRTP,Secure_Real-time_Transport_Protocol
Semantic_analysis_(machine_learning),,,,,,,,,Semantic_analysis_(machine_learning)
Semantic_Web,Semantic_Web,Web_sémantique,Web_semántica,Web_semantico,Semantiska_webben,Semantisch_web,Semantic_Web,Семантическая_паутина,Semantic_Web
Service-oriented_architecture,Serviceorientierte_Architektur,Architecture_orientée_services,Arquitectura_orientada_a_servicios,Service-oriented_architecture,Tjänsteorienterad_arkitektur,Service-oriëntatie,Architektura_zorientowana_na_usługi,Сервис-ориентированная_архитектура,Service-oriented_architecture
Session_Description_Protocol,Session_Description_Protocol,Session_Description_Protocol,Session_Description_Protocol,Session_Description_Protocol,,,Session_Description_Protocol,Session_Description_Protocol,Session_Description_Protocol
Session_Initiation_Protocol,Session_Initiation_Protocol,Session_Initiation_Protocol,Protocolo_de_iniciación_de_sesión,Session_Initiation_Protocol,Session_Initiation_Protocol,Session_Initiation_Protocol,Session_Initiation_Protocol,Протокол_установления_сеанса,Session_Initiation_Protocol
Smart_contract,Smart_Contract,Contrat_intelligent,Contrato_inteligente,Smart_contract,,,,Смарт-контракт,Smart_contract
Smart_grid,Intelligentes_Stromnetz,Smart_grid,Red_eléctrica_inteligente,Smart_grid,Smart_elnät,Smart_grid,Inteligentna_sieć_energetyczna,Умные_сети_электроснабжения,Smart_grid
Smart_objects,Smartes_Objekt,,,,,,,,Smart_objects
Smartphone,Smartphone,Smartphone,Teléfono_inteligente,Smartphone,Smartmobil,Smartphone,Smartfon,Смартфон,Smartphone
Software-defined_infrastructure,,,,,,,,,Software-defined_infrastructure
Software-defined_networking,Software-defined_networking,Software-defined_networking,Redes_definidas_por_software,Software-defined_networking,,,Programowalna_sieć_komputerowa,Программно-определяемая_сеть,Software-defined_networking
Software-defined_radio,Software_Defined_Radio,Radio_logicielle,Radio_definida_por_software,Software_defined_radio,Mjukvarudefinierad_radio,Software-defined_radio,Radio_programowalne,Программно-определяемая_радиосистема,Software-defined_radio
Speech_recognition,Spracherkennung,Reconnaissance_automatique_de_la_parole,Reconocimiento_del_habla,Riconoscimento_vocale,Taligenkänning,Spraakherkenning,Rozpoznawanie_mowy,Распознавание_речи,Speech_recognition
Speech_translation,,,,,,,,Автоматический_перевод_устной_речи,Speech_translation
Stream_Control_Transmission_Protocol,Stream_Control_Transmission_Protocol,Stream_Control_Transmission_Protocol,Stream_Control_Transmission_Protocol,Stream_Control_Transmission_Protocol,Stream_Control_Transmission_Protocol,Stream_Control_Transmission_Protocol,Stream_Control_Transmission_Protocol,SCTP,Stream_Control_Transmission_Protocol
Supercomputer,Supercomputer,Superordinateur,Supercomputadora,Supercomputer,Superdator,Supercomputer,Superkomputer,Суперкомпьютер,Supercomputer
Supercomputer,Supercomputer,Superordinateur,Supercomputadora,Supercomputer,Superdator,Supercomputer,Superkomputer,Суперкомпьютер,Supercomputer
Telecommunication,Telekommunikation,Télécommunications,Telecomunicación,Telecomunicazione,Telekommunikation,Telecommunicatie,Telekomunikacja,Электросвязь,Telecommunication
Telecommunications_network,,Réseau_de_télécommunications,Red_de_telecomunicación,Rete_di_telecomunicazioni,,,Sieć_telekomunikacyjna,Коммуникационная_сеть,Telecommunications_network
Traffic_shaping,Traffic-Shaping,Traffic_shaping,Conformado_de_tráfico,Traffic_shaping,,Traffic_shaping,,Шейпинг_(информатика),Traffic_shaping
Transmission_Control_Protocol,Transmission_Control_Protocol,Transmission_Control_Protocol,Protocolo_de_control_de_transmisión,Transmission_Control_Protocol,Transmission_control_protocol,Transmission_Control_Protocol,Protokół_sterowania_transmisją,Transmission_Control_Protocol,Transmission_Control_Protocol
Transparent_Network_Substrate,Transparent_Network_Substrate,Transparent_Network_Substrate,,,,,,,Transparent_Network_Substrate
Transport_layer,Transportschicht,Couche_transport,Capa_de_transporte,Livello_di_trasporto,Transportskikt,Transportlaag,,Транспортный_уровень,Transport_layer
Transport_Layer_Security,Transport_Layer_Security,Transport_Layer_Security,Transport_Layer_Security,Transport_Layer_Security,Transport_Layer_Security,Transport_Layer_Security,Transport_Layer_Security,TLS,Transport_Layer_Security
Tunneling_protocol,Tunnel_(Rechnernetz),Tunnel_(réseau_informatique),Túnel_(informática),Protocollo_di_tunneling,Tunnlade_protokoll,Tunnelingprotocol,Tunel_(informatyka),Туннелирование_(компьютерные_сети),Tunneling_protocol
Twitter,Twitter,Twitter,Twitter,Twitter,Twitter,Twitter,Twitter,Твиттер,Twitter
Uniform_Resource_Name,Uniform_Resource_Name,Uniform_Resource_Name,Nombre_de_Recurso_Uniforme,Uniform_Resource_Name,,Uniform_resource_name,Uniform_Resource_Name,URN,Uniform_Resource_Name
Unikernel,,Unikernel,,,,,,,Unikernel
User_interface_design,Interfacedesign,,Diseño_de_interfaz_de_usuario,Interface_design,,,,,User_interface_design
Value-added_service,Mehrwertdienst_(Telekommunikation),,Número_de_teléfono_de_tarificación_adicional,Servizi_a_valore_aggiunto,,Informatienummer,Usługa_dodana,Дополнительные_виды_обслуживания,Value-added_service
Vehicle-to-vehicle,,,,,,,,,Vehicle-to-vehicle
Vehicular_automation,Fahrerloser_Transport,,Automatización_vehicular,,,,,,Vehicular_automation
Virtual_currency,,Monnaie_virtuelle,Dinero_virtual,,Virtuell_valuta,,,Виртуальная_валюта,Virtual_currency
Virtual_device,Gerätedatei,,Fichero_de_dispositivo,,,,,/dev,Virtual_device
Virtual_LAN,Virtual_Local_Area_Network,Réseau_local_virtuel,VLAN,VLAN,VLAN,Virtual_LAN,Wirtualna_sieć_lokalna,VLAN,Virtual_LAN
Virtual_machine,Virtuelle_Maschine,Machine_virtuelle,Máquina_virtual,Macchina_virtuale,Virtuell_maskin,Virtuele_machine,Maszyna_wirtualna,Виртуальная_машина,Virtual_machine
Virtual_private_network,Virtual_Private_Network,Réseau_privé_virtuel,Red_privada_virtual,Virtual_Private_Network,Virtual_private_network,Virtueel_Particulier_Netwerk,Virtual_Private_Network,VPN,Virtual_private_network
Virtual_reality,Virtuelle_Realität,Réalité_virtuelle,Realidad_virtual,Realtà_virtuale,Virtuell_verklighet,Virtuele_werkelijkheid,Rzeczywistość_wirtualna,Виртуальная_реальность,Virtual_reality
Virtualization,Virtualisierung_(Informatik),Virtualisation,Virtualización,Virtualizzazione,Virtualisering,Virtualisatie,Wirtualizacja,Виртуализация,Virtualization
Visible_light_communication,Visible_Light_Communications,,Comunicación_con_luz_visible,,,Visible_light_communication,,VLC_(технология_передачи_данных),Visible_light_communication
VyOS,,,,,,,,,VyOS
Web_search_engine,,Moteur_de_recherche,,,,,,Поисковая_система,Web_search_engine
WiMAX,WiMAX,WiMAX,WiMAX,WiMAX,,WiMAX,WiMAX,WiMAX,WiMAX
Wireless,Kabellose_Übertragungsverfahren,Transmission_sans_fil,Comunicación_inalámbrica,Wireless,Trådlöst_nätverk,,,Беспроводные_технологии,Wireless
Wireless_mesh_network,Ad-hoc-Netz,,Red_inalámbrica_mallada,,,,,,Wireless_mesh_network
World_Wide_Web_Consortium,World_Wide_Web_Consortium,World_Wide_Web_Consortium,World_Wide_Web_Consortium,World_Wide_Web_Consortium,World_Wide_Web_Consortium,World_Wide_Web_Consortium,World_Wide_Web_Consortium,Консорциум_Всемирной_паутины,World_Wide_Web_Consortium
YANG,,,,,,,,,YANG
